id,category,address,bizhour,homepage,menu,name,parkingfee,skyPanorama,streetPanorama,img,phone,longitude,latitude,transport,near,hashtags,facilities
1574246315,풋살,부산광역시 동구 수정동,['매일 00:00~24:00'],-,[],수정산가족체육공원풋살경기장,무료,-,-,-,-,129.0374243,35.1329126,-,[],[],"<div class=""_1h3B_""><a aria-expanded=""false"" aria-haspopup=""true"" class=""_1Gmk4"" href=""#"" role=""button"" target=""_self""><span class=""_2yqUQ"">부산 동구 수정동</span><span class=""_1aKLL""><svg aria-hidden=""true"" class=""_12Coj"" viewbox=""0 0 12 7"" xmlns=""http://www.w3.org/2000/svg""><path d=""M11.47.52a.74.74 0 0 0-1.04 0l-4.4 4.45v.01L1.57.52A.74.74 0 1 0 .53 1.57l5.12 5.08a.5.5 0 0 0 .7 0l5.12-5.08a.74.74 0 0 0 0-1.05z""></path></svg></span></a></div>"
1852173811,농구,부산광역시 서구 서대신동3가 210-1,['매일 00:00~24:00'],-,[],부산시민체육공원농구장,무료,"{'id': 'iRmeFwiJuzugiOGCyEA9mg==', 'pan': '165.52', 'tilt': '-30.00', 'lng': '129.0158844', 'lat': '35.1185112', 'fov': '124'}","{'id': 'PvBXpiUcPT+/M8Xp/12hQA==', 'pan': '-28.28', 'tilt': '10.00', 'lng': '129.0167205', 'lat': '35.1156061', 'fov': '120'}",-,-,129.0165629,35.1158991,"1, 동대신역 1번 출구에서 614m",[],[],"<div class=""_1h3B_""><a aria-expanded=""false"" aria-haspopup=""true"" class=""_1Gmk4"" href=""#"" role=""button"" target=""_self""><span class=""_2yqUQ"">부산 서구 망양로 57</span><span class=""_1aKLL""><svg aria-hidden=""true"" class=""_12Coj"" viewbox=""0 0 12 7"" xmlns=""http://www.w3.org/2000/svg""><path d=""M11.47.52a.74.74 0 0 0-1.04 0l-4.4 4.45v.01L1.57.52A.74.74 0 1 0 .53 1.57l5.12 5.08a.5.5 0 0 0 .7 0l5.12-5.08a.74.74 0 0 0 0-1.05z""></path></svg></span></a><div class=""_2P6sT""><span class=""_1nD5-""><span class=""_12Coj"" style=""background:#f0602f"">1</span></span><strong>동대신<!-- -->역</strong> 1번 출구<!-- -->에서<em>614<!-- -->m</em></div></div>"
16936001,농구,부산광역시 서구 암남동 34,['매일 00:00~24:00'],-,[],고신대학교송도캠퍼스농구장,무료,"{'id': 'gncPEaTmJF0dWx7+R7k80g==', 'pan': '-86.35', 'tilt': '-30.00', 'lng': '129.0186157', 'lat': '35.0809441', 'fov': '124'}","{'id': 'hx+bJZu4GpO+2ZlNJOYygQ==', 'pan': '-58.78', 'tilt': '10.00', 'lng': '129.0137153', 'lat': '35.0810329', 'fov': '120'}",-,-,129.0132955,35.0812876,-,[],[],[]
1889634441,야구,부산광역시 중구 부평동1가 2-6,"['평일 09:00~18:00 토요일, 일요일, 공휴일 휴무']",http://www.top10sports.co.kr/,"['[골프장갑] 나이스버디 천연올양피 남성용 10,000', '[골프장갑] 나이스버디 천연올양피 여성용 (한손/양손) 9,000', '[배팅장갑] 야마모토(YAMAMOTO) 철심 22,000', '카데로(CADERO) 그립 11,000']",탑텐스포츠,무료,"{'id': 'DfzbI1zfxeKKx0oBMwvYZA==', 'pan': '-92.59', 'tilt': '-30.00', 'lng': '129.0294800', 'lat': '35.1029549', 'fov': '124'}","{'id': 'EeaimlNNeFV+v7UPpTMKyw==', 'pan': '175.60', 'tilt': '10.00', 'lng': '129.0272266', 'lat': '35.1030506', 'fov': '120'}",-,0507-1321-8701,129.0272419,35.1028555,-,[],[],[]
12009331,야구,부산광역시 중구 남포동1가 22-1,['매일 08:30~19:00 일요일 휴무.'],-,[],호수어구상사,무료,"{'id': 'GawGFT7Dyl+8GkPxGQK8Vw==', 'pan': '77.84', 'tilt': '-30.00', 'lng': '129.0305481', 'lat': '35.0967102', 'fov': '124'}","{'id': 'd64YIZ9+wzP5BwLtelomPg==', 'pan': '-69.24', 'tilt': '10.00', 'lng': '129.0348032', 'lat': '35.0975621', 'fov': '120'}",https://ldb-phinf.pstatic.net/20150831_157/14409988981215huot_JPEG/12009331_0.jpg,0507-1394-0900,129.0346884,35.0976057,-,[],[],[]
1333320074,테니스,부산광역시 서구 서대신동3가 210-1,['매일 00:00~24:00'],-,[],부산시민체육공원테니스장,무료,"{'id': 'iRmeFwiJuzugiOGCyEA9mg==', 'pan': '169.25', 'tilt': '-30.00', 'lng': '129.0158844', 'lat': '35.1185112', 'fov': '124'}","{'id': 'IMNHzxutSHnTSsHlGvwlRA==', 'pan': '-89.11', 'tilt': '10.00', 'lng': '129.0169236', 'lat': '35.1163548', 'fov': '120'}",-,-,129.0162953,35.1163650,-,[],[],[]
1642842800,테니스,부산광역시 서구 암남동 704-1,['매일 00:00~24:00'],-,[],부산환경공단 중앙사업소 테니스장,무료,"{'id': 'SKWlhkoBaJR0rU7MM0RbCg==', 'pan': '-34.90', 'tilt': '-30.00', 'lng': '129.0135956', 'lat': '35.0536003', 'fov': '124'}","{'id': 'r2Jc71hho35KRHfsFthKEQ==', 'pan': '77.09', 'tilt': '10.00', 'lng': '129.0124519', 'lat': '35.0546826', 'fov': '120'}",-,-,129.0127873,35.0547597,-,[],[],"<div class=""_1h3B_""><a aria-expanded=""false"" aria-haspopup=""true"" class=""_1Gmk4"" href=""#"" role=""button"" target=""_self""><span class=""_2yqUQ"">부산 서구 원양로 6 (암남동) 중앙사업소</span><span class=""_1aKLL""><svg aria-hidden=""true"" class=""_12Coj"" viewbox=""0 0 12 7"" xmlns=""http://www.w3.org/2000/svg""><path d=""M11.47.52a.74.74 0 0 0-1.04 0l-4.4 4.45v.01L1.57.52A.74.74 0 1 0 .53 1.57l5.12 5.08a.5.5 0 0 0 .7 0l5.12-5.08a.74.74 0 0 0 0-1.05z""></path></svg></span></a></div>"
1144791443,테니스,부산광역시 서구 충무동2가 26-3,['매일 08:00~21:00 .'],-,[],동림종합스포츠,무료,"{'id': 'rZSuucyFfohNFhQ7ZfTUCg==', 'pan': '85.17', 'tilt': '-30.00', 'lng': '129.0211182', 'lat': '35.0954399', 'fov': '124'}","{'id': 'gxCa/e4KFslhMkTc6yBJwQ==', 'pan': '14.46', 'tilt': '10.00', 'lng': '129.0222567', 'lat': '35.0954676', 'fov': '120'}",https://ldb-phinf.pstatic.net/20190617_64/1560755504139UuK3o_JPEG/MgVBD4OD6_zKS9GWunbb6eMM.jpg,-,129.0222750,35.0955386,"1, 자갈치역 1번 출구에서 345m",[],"['스포츠용품', '배드민턴', '테니스', '등산용품', '헬스기구']","<div class=""_1h3B_""><span class=""_3ZA0S"">051-257-9835</span><span class=""_2M7HZ""><a class=""_2wcPx"" href=""#"" role=""button"" target=""_self"" title=""복사""><svg aria-hidden=""true"" class=""_32ZZX"" viewbox=""0 0 12 13"" xmlns=""http://www.w3.org/2000/svg""><path d=""M9 8v.48l-1.98 1.58L6 11H3v1h4.61L10 9.81V3h-.97L9 8zm0-6h1a1 1 0 0 1 1 1v7.25L8 13H3a1 1 0 0 1-1-1v-1H1a1 1 0 0 1-1-1V1a1 1 0 0 1 1-1h7a1 1 0 0 1 1 1v1zm-7 8h3.5l.87-.7L8 7.81V1H1v9h1zm0-7h4v1H2V3zm0 2h4v1H2V5zm0 2h2v1H2V7z""></path></svg>복사</a></span></div>"
1221619551,농구,부산광역시 동구 좌천동,['매일 00:00~24:00'],-,[],증산공원농구장,무료,"{'id': 'FlrMTkHCAAQa0lnJNQMebA==', 'pan': '45.52', 'tilt': '-30.00', 'lng': '129.0486603', 'lat': '35.1349487', 'fov': '124'}","{'id': 'TIamWcY0BFcJMEYQhKEkNA==', 'pan': '-51.91', 'tilt': '10.00', 'lng': '129.0511015', 'lat': '35.1365408', 'fov': '120'}",-,-,129.0506449,35.1368989,-,[],[],[]
1899462088,볼링,부산광역시 중구 보수동1가 64-16,['매일 08:00~18:00'],http://blog.naver.com/linelight77,[],라인라이트,무료,"{'id': 'hfajWCGXq/3pXTqarwh7/Q==', 'pan': '-104.13', 'tilt': '-30.00', 'lng': '129.0287476', 'lat': '35.1055489', 'fov': '124'}","{'id': 'F4pgXU7CfLwynT0iNCUSpg==', 'pan': '-86.84', 'tilt': '10.00', 'lng': '129.0260112', 'lat': '35.1048283', 'fov': '120'}",https://ldb-phinf.pstatic.net/20210104_188/1609748784985zaHTG_JPEG/NZt013BsN4B73aEaCInFyin8.jpg,-,129.0258986,35.1048346,-,[],[],[]
1627405361,볼링,부산광역시 금정구 장전동 420-1 오션프라자 지하2층,"['매일 11:00~03:00 금,토, 공휴일전날은 새벽4시까지']",-,[],오션락볼링센터,무료,"{'id': 'xZZF/0+M9rOqK692cZn4xA==', 'pan': '10.64', 'tilt': '-30.00', 'lng': '129.0852661', 'lat': '35.2286110', 'fov': '124'}","{'id': 'sHRxZ4txfQibaolfNiYypQ==', 'pan': '-115.51', 'tilt': '7.63', 'lng': '129.0859498', 'lat': '35.2313756', 'fov': '68'}",https://ldb-phinf.pstatic.net/20200404_77/1585980065531bHYAi_JPEG/1UKnLamL8OhBRB-e2K92EFNj.jpg,-,129.0857586,35.2312349,"1, 부산대역 3번 출구에서 378m",[],[],"<div class=""_1h3B_""><span class=""_3ZA0S"">051-582-0562</span><span class=""_2M7HZ""><a class=""_2wcPx"" href=""#"" role=""button"" target=""_self"" title=""복사""><svg aria-hidden=""true"" class=""_32ZZX"" viewbox=""0 0 12 13"" xmlns=""http://www.w3.org/2000/svg""><path d=""M9 8v.48l-1.98 1.58L6 11H3v1h4.61L10 9.81V3h-.97L9 8zm0-6h1a1 1 0 0 1 1 1v7.25L8 13H3a1 1 0 0 1-1-1v-1H1a1 1 0 0 1-1-1V1a1 1 0 0 1 1-1h7a1 1 0 0 1 1 1v1zm-7 8h3.5l.87-.7L8 7.81V1H1v9h1zm0-7h4v1H2V3zm0 2h4v1H2V5zm0 2h2v1H2V7z""></path></svg>복사</a></span></div>"
1052794955,볼링,부산광역시 금정구 장전동 643-117 테라스파크 3층,['매일 11:30~05:00'],-,[],테라스 락 볼링장,무료,"{'id': '+lS58DmaEI49NykqceuFUQ==', 'pan': '-30.80', 'tilt': '-30.00', 'lng': '129.0894470', 'lat': '35.2286110', 'fov': '124'}","{'id': 'AmcXLBvPmbeN6U6btHLruA==', 'pan': '-99.06', 'tilt': '10.00', 'lng': '129.0891774', 'lat': '35.2296234', 'fov': '120'}",https://ldb-phinf.pstatic.net/20180316_23/1521182229222ONlCf_JPEG/7SflTsaEnGDHEZoeONRoced-.jpg,-,129.0888726,35.2295751,"1, 부산대역 1번 출구에서 49m",부산대 1번 3번 지하철역 사이 다이소 옆건물 테라스파크 3층 입니다.,"['테라스', '부산대볼링', '부산락볼링']","<div class=""_1h3B_""><span class=""_3ZA0S"">051-517-2392</span><span class=""_2M7HZ""><a class=""_2wcPx"" href=""#"" role=""button"" target=""_self"" title=""복사""><svg aria-hidden=""true"" class=""_32ZZX"" viewbox=""0 0 12 13"" xmlns=""http://www.w3.org/2000/svg""><path d=""M9 8v.48l-1.98 1.58L6 11H3v1h4.61L10 9.81V3h-.97L9 8zm0-6h1a1 1 0 0 1 1 1v7.25L8 13H3a1 1 0 0 1-1-1v-1H1a1 1 0 0 1-1-1V1a1 1 0 0 1 1-1h7a1 1 0 0 1 1 1v1zm-7 8h3.5l.87-.7L8 7.81V1H1v9h1zm0-7h4v1H2V3zm0 2h4v1H2V5zm0 2h2v1H2V7z""></path></svg>복사</a></span></div>"
34724528,볼링,부산광역시 금정구 장전동 292-4 지하 1층,['매일 12:00~02:00 연중무휴'],-,[],크라운스트라이크,무료,"{'id': 'vVF1pGaOuIhf9YgSW2B+fA==', 'pan': '-4.08', 'tilt': '-30.00', 'lng': '129.0881805', 'lat': '35.2286110', 'fov': '124'}","{'id': 'ZQdLHzzAxJ44Po1CO77wPQ==', 'pan': '-75.86', 'tilt': '10.00', 'lng': '129.0884334', 'lat': '35.2300362', 'fov': '120'}",https://ldb-phinf.pstatic.net/20210629_197/1624945707118Uw6Ew_JPEG/hPNga06B2M3Trz4gslacmzDX.jpeg.jpg,-,129.0880723,35.2301274,-,[],[],[]
13513311,볼링,부산광역시 금정구 서동 207-1,['매일 14:00~00:00 토일요일은13:00부터'],-,"['1게임당 3,700', '신발대여비 1,500', '22시이후게임당 2,500']",라이프타운볼링장,무료,"{'id': 'L/oL96QJjZkhrSXPGmynAw==', 'pan': '-122.06', 'tilt': '-30.00', 'lng': '129.1088104', 'lat': '35.2155571', 'fov': '124'}","{'id': 'gjbGNFZJonZKrPhqbERwbQ==', 'pan': '-112.25', 'tilt': '36.69', 'lng': '129.1082930', 'lat': '35.2154430', 'fov': '80'}",https://ldb-phinf.pstatic.net/20210602_233/1622628586051eWs0s_JPEG/NaO6tjGFoYtdY6lJTHMpp9Le.jpg,-,129.1083367,35.2152611,-,[],[],[]
1457864940,볼링,부산광역시 금정구 구서동 1059,['평일 09:00~18:00'],http://smartstore.naver.com/tdsports,[],티디스포츠,무료,"{'id': '56KR+smqFcJrLD9idOLWCw==', 'pan': '-74.79', 'tilt': '-30.00', 'lng': '129.0863953', 'lat': '35.2469406', 'fov': '124'}","{'id': 'YLEZX1z1RQndztBmt2jz4g==', 'pan': '5.44', 'tilt': '10.00', 'lng': '129.0858421', 'lat': '35.2469124', 'fov': '120'}",https://ldb-phinf.pstatic.net/20200428_124/1588083230194S4CfQ_JPEG/hnNajHcAOC1M0OKfj5CedzGq.jpg,-,129.0858587,35.2470869,-,[],[],[]
13513307,볼링,부산광역시 영도구 동삼동 770,['매일 12:00~03:00'],-,[],한바다볼링센타,무료,"{'id': '70XC7TvDtSe+MrTBBB6gog==', 'pan': '-158.51', 'tilt': '-30.00', 'lng': '129.0809631', 'lat': '35.0693092', 'fov': '124'}","{'id': 'SaTE2TFILGSwJa/ZI/hO1w==', 'pan': '72.83', 'tilt': '10.00', 'lng': '129.0803849', 'lat': '35.0686020', 'fov': '120'}",https://ldb-phinf.pstatic.net/20161004_188/14755612700178rlK1_JPEG/176954553769867_0.jpeg,-,129.0807252,35.0687073,-,[],[],[]
1789185240,볼링,부산광역시 영도구 대교동1가 64,['매일 00:00~24:00'],-,[],대교볼링장,무료,"{'id': 'L3715CPJr+/FgUIjKaogFw==', 'pan': '-90.52', 'tilt': '-30.00', 'lng': '129.0399933', 'lat': '35.0932007', 'fov': '124'}","{'id': 'j8eYkuecPCwrSXwm/BEeBA==', 'pan': '-45.53', 'tilt': '48.63', 'lng': '129.0377627', 'lat': '35.0928675', 'fov': '75'}",-,-,129.0377286,35.0931819,-,[],[],[]
37890018,볼링,부산광역시 영도구 대평동1가 162-1,"['평일 08:00~20:00', '토요일 08:00~20:00', '일요일 휴무', '공휴일 08:00~20:00']",-,"['30분 900', '60분 1,800', '120분 3,600', '240분 7,200']",토토볼링장앞 노상 공영 주차장,무료,"{'id': 'g+i8kCUqn13fqF18ra8KQQ==', 'pan': '72.59', 'tilt': '-30.00', 'lng': '129.0333710', 'lat': '35.0891953', 'fov': '124'}","{'id': '9gkTgro58RLyLbmX6xD7KQ==', 'pan': '-111.19', 'tilt': '10.00', 'lng': '129.0358179', 'lat': '35.0899679', 'fov': '120'}",-,-,129.0357690,35.0899490,-,[],[],"<div class=""_1h3B_""><a aria-expanded=""false"" aria-haspopup=""true"" class=""_1Gmk4"" href=""#"" role=""button"" target=""_self""><span class=""_2yqUQ"">부산 영도구 대평남로 7-1</span><span class=""_1aKLL""><svg aria-hidden=""true"" class=""_12Coj"" viewbox=""0 0 12 7"" xmlns=""http://www.w3.org/2000/svg""><path d=""M11.47.52a.74.74 0 0 0-1.04 0l-4.4 4.45v.01L1.57.52A.74.74 0 1 0 .53 1.57l5.12 5.08a.5.5 0 0 0 .7 0l5.12-5.08a.74.74 0 0 0 0-1.05z""></path></svg></span></a></div>"
16732837,볼링,부산광역시 영도구 대평동1가,['매일 00:00~24:00'],-,[],토토락볼링장입구,무료,"{'id': 'g+i8kCUqn13fqF18ra8KQQ==', 'pan': '73.56', 'tilt': '-30.00', 'lng': '129.0333710', 'lat': '35.0891953', 'fov': '124'}","{'id': 'IfPUTJMB6faITRQfVhlv9A==', 'pan': '-91.37', 'tilt': '10.00', 'lng': '129.0363100', 'lat': '35.0900470', 'fov': '120'}",-,-,129.0362449,35.0900455,-,[],[],[]
1478135046,볼링,부산광역시 영도구 대평동1가,['매일 00:00~24:00'],-,[],토토락볼링장주차장입구,무료,"{'id': 'PQTtz0IL5/eCKcZBIBIVOQ==', 'pan': '84.60', 'tilt': '-30.00', 'lng': '129.0330811', 'lat': '35.0899506', 'fov': '124'}","{'id': '7wUpYof/BeuidKdU2x+qHg==', 'pan': '86.62', 'tilt': '10.00', 'lng': '129.0352827', 'lat': '35.0901623', 'fov': '120'}",-,-,129.0353396,35.0901656,-,[],[],[]
